,,,,,,,,Performance Expectancy,,,,,,Effort Expectancy,,,,,,Social Influence,,,,,,Facilitating Condition,,,,,,Hedonic Motivation,,,,,,Price Value,,,,,,Habit,,,,,,Health Literation,,,,,,Perceived Health Risk ,,,,,,Indigenous Knowledge / Local Wisdom,,,,,,Government Support,,,,,,Security dan Privacy,,,,,,,Trust,,,,Behaviour Intention,,,,
> 35 Tahun,Tenaga Kesehatan Dokter/Bidan/Perawat,,Jawa Tengah,> Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,4,4,1,4,,3,3,3,3,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 - 25 Tahun,Lainnya,,Jawa Barat,Rp1.000.000 - Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
> 35 Tahun,Guru / Dosen,,Jawa Tengah,Rp1.000.000 - Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,2,,3,3,3,4,4,,3,2,2,1,3,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,3,4,4,4
31 -35 Tahun,PNS,,Jawa Tengah,Rp2.500.000 - Rp5.000.000,Pregnancy+,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,4,4,4,4,,4,4,4,3,4,,4,4,4,4,4,,2,2,2,2,3,,4,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,4,3,3,4,4
26 - 30 Tahun,Pegawai Swasta,,Banten,> Rp10.000.000,Tentang Anak,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,4,,3,3,3,3,3,,2,2,1,2,2,,3,3,3,3,3,,3,3,3,3,2,3,,3,3,3,,3,3,3,3,3
> 35 Tahun,Ibu rumah tangga,S1,Jawa Tengah,> Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,3,4,4,,4,4,4,4,4,,2,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,3,,1,1,1,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
> 35 Tahun,Guru / Dosen,S3,Jawa Barat,Rp5.000.000 - Rp10.000.000,Flo,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,3,,4,4,3,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,2,,2,3,2,2,3,,2,2,2,2,2,,2,3,2,3,2,3,,3,3,3,,3,3,3,3,3
> 35 Tahun,Pegawai Swasta,S1,Jawa Tengah,> Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,2,2,4,,4,4,4,4,4,,1,2,2,2,1,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,1,1,1,4,4
> 35 Tahun,Ibu rumah tangga,S1,Jawa Tengah,Rp2.500.000 - Rp5.000.000,HalloBumil,1 - 2 Tahun,,3,3,3,3,3,,3,3,4,3,4,,4,4,4,4,4,,4,4,4,4,4,,4,3,3,3,4,,3,3,4,4,3,,4,4,4,4,4,,3,3,3,3,3,,3,2,3,3,3,,3,3,3,3,3,,3,3,2,2,2,,3,4,4,3,4,3,,4,3,3,,4,4,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Jawa Barat,> Rp10.000.000,theAsianparent,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,3,,2,3,3,2,3,,2,2,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,2,2,3
26 - 30 Tahun,Petani,SMP,Jawa Tengah,> Rp10.000.000,theAsianparent,< 1 Tahun,,4,4,2,3,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,3,4,,4,3,3,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,3,3,1,2,,4,4,3,1,2,,4,4,4,4,4,,4,4,4,4,3,,4,4,4,3,4,4,,4,4,4,,4,1,3,4,2
> 35 Tahun,Ibu rumah tangga,S2,Jawa Barat,> Rp10.000.000,Pregnancy+,< 1 Tahun,,4,4,4,4,4,,4,4,4,3,4,,2,2,2,1,3,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,1,1,1,1,1,,3,2,1,1,3,,2,2,2,1,1,,3,3,3,2,2,2,,2,2,2,,4,4,4,4,4
26 - 30 Tahun,Pegawai Swasta,S1,Jawa Barat,Rp5.000.000 - Rp10.000.000,Flo,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,4,,1,3,1,3,3,,2,3,2,2,4,,2,2,2,1,1,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
> 35 Tahun,Ibu rumah tangga,S1,Jawa Tengah,Rp1.000.000 - Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,3,4,4,4,,3,3,3,4,4,,4,4,3,4,3,,3,4,4,4,4,,4,3,3,3,3,,3,2,3,3,3,,3,3,3,3,3,,4,4,4,4,4,,3,3,3,4,4,,4,4,3,1,4,,4,4,4,4,4,,3,3,3,3,3,3,,3,3,3,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,SMA,Jambi,Rp2.500.000 - Rp5.000.000,HalloBumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,3,,3,3,3,3,3,,3,3,2,2,3,,3,3,3,3,3,,2,3,3,3,2,,2,2,3,3,3,,2,3,2,2,3,,3,2,2,2,2,,2,2,2,2,2,,2,3,2,2,2,3,,3,3,3,,2,2,2,2,2
26 - 30 Tahun,Ibu rumah tangga,S1,Papua Tengah,> Rp10.000.000,theAsianparent,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,3,4,4,3,4,,3,4,4,4,4,,3,4,4,4,4,,3,4,4,3,4,,3,4,3,4,4,,3,3,3,3,3,,2,4,3,3,3,,3,3,3,3,3,,3,3,2,2,2,,4,3,4,4,4,3,,3,3,4,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,Diploma,Jambi,Rp2.500.000 - Rp5.000.000,Diary Bunda,1 - 2 Tahun,,3,3,3,4,4,,4,3,4,4,3,,3,3,4,3,3,,4,4,4,4,4,,4,4,3,3,3,,3,3,3,3,3,,3,3,3,4,3,,3,4,4,4,3,,2,4,3,3,4,,2,4,3,3,4,,4,4,2,2,2,,3,3,3,3,3,4,,4,4,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Banten,Rp2.500.000 - Rp5.000.000,theAsianparent,1 - 2 Tahun,,3,3,3,3,4,,3,3,3,3,3,,3,3,3,3,3,,4,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,3,3,3,3,,3,3,3,4,4,,3,3,3,3,3,,1,2,3,1,3,,3,3,3,2,3,,4,3,3,3,3,4,,4,4,4,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Sulawesi Selatan,Rp2.500.000 - Rp5.000.000,Pregnancy+,< 1 Tahun,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,3,2,3,3,,3,2,2,1,4,,3,2,3,1,1,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
> 35 Tahun,Ibu rumah tangga,Diploma,Banten,> Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Pegawai Swasta,SMP,Banten,Rp2.500.000 - Rp5.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,< 1 Tahun,,2,2,2,2,2,,2,2,2,2,2,,3,3,3,3,2,,2,3,2,4,3,,2,2,2,2,3,,2,2,2,3,2,,2,3,2,3,2,,3,3,3,3,2,,2,4,2,2,2,,3,2,3,2,2,,2,2,2,2,2,,3,3,3,3,3,3,,3,3,2,,2,2,2,2,2
26 - 30 Tahun,Tenaga Kesehatan Dokter/Bidan/Perawat,S1,Jawa Timur,Rp1.000.000 - Rp2.500.000,Teman Bumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
31 -35 Tahun,Pegawai Swasta,S1,Jawa Timur,< Rp1.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,4,3,3,3,,2,3,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,2,3,2
20 - 25 Tahun,Ibu rumah tangga,SMA,Lampung,Rp5.000.000 - Rp10.000.000,theAsianparent,< 1 Tahun,,4,4,4,4,4,,4,4,3,4,4,,4,4,4,4,3,,4,4,4,4,4,,4,4,3,4,4,,4,4,4,4,4,,4,4,3,4,4,,3,4,3,4,4,,4,4,4,4,4,,4,4,3,4,4,,4,3,4,4,3,,4,4,4,4,4,4,,4,4,3,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp1.000.000 - Rp2.500.000,Pregnancy+,< 1 Tahun,,4,4,3,4,4,,4,4,4,4,4,,4,4,3,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,3,3,3,3,,3,3,3,3,3,,4,3,3,4,4,,3,3,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Pegawai Swasta,S1,DKI Jakarta,> Rp10.000.000,PrimaKu,> 2 Tahun,,4,4,3,3,3,,4,4,4,4,3,,4,4,3,4,4,,4,4,3,4,4,,4,4,4,4,4,,4,4,2,4,3,,3,3,4,4,3,,4,4,4,4,4,,2,2,4,4,2,,3,4,3,2,4,,3,2,2,1,1,,2,2,2,2,3,3,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,S1,Banten,> Rp10.000.000,Teman Bumil,< 1 Tahun,,3,3,3,2,3,,3,3,3,3,3,,3,3,3,4,4,,3,3,3,3,3,,3,3,2,2,3,,3,3,3,2,3,,2,2,3,2,2,,3,3,3,2,4,,2,3,2,3,3,,3,3,2,2,3,,2,2,2,2,2,,3,3,3,3,2,3,,3,3,2,,3,3,2,4,3
26 - 30 Tahun,Pegawai Swasta,S2,DKI Jakarta,> Rp10.000.000,Teman Bumil,1 - 2 Tahun,,2,2,3,3,3,,3,3,3,3,2,,1,3,2,1,3,,2,4,1,2,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,4,4,4,4,,3,3,3,3,3,,1,1,1,1,2,,1,1,1,1,1,,1,2,1,2,2,2,,3,3,2,,4,4,4,4,4
26 - 30 Tahun,Pegawai Swasta,S1,DKI Jakarta,> Rp10.000.000,Flo,< 1 Tahun,,3,3,4,4,3,,4,3,3,3,3,,4,3,4,4,3,,3,4,3,4,4,,3,3,3,4,3,,3,3,3,3,3,,4,3,3,3,3,,3,3,3,3,3,,2,3,3,3,3,,2,3,3,2,3,,3,3,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Pegawai Swasta,S1,Banten,Rp5.000.000 - Rp10.000.000,theAsianparent,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,2,3,3,,3,3,2,2,3,,2,2,3,1,1,,2,2,2,2,2,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Pegawai Swasta,Diploma,DKI Jakarta,Rp5.000.000 - Rp10.000.000,theAsianparent,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,1,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,2,3,,3,3,3,3,3,,3,3,3,3,4,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Pegawai Swasta,S2,Banten,> Rp10.000.000,Flo,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,3,3,3,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Wiraswasta/Pemilik Bisnis,SMP,Jawa Timur,Rp2.500.000 - Rp5.000.000,theAsianparent,< 1 Tahun,,4,3,4,4,4,,4,4,3,4,4,,2,1,1,1,3,,4,4,2,4,4,,3,3,4,4,4,,3,3,3,3,3,,2,4,3,4,4,,4,4,4,4,4,,2,2,2,2,3,,1,2,1,1,2,,1,2,1,3,1,,3,3,3,3,3,3,,3,4,4,,4,3,3,3,3
20 - 25 Tahun,Pegawai Swasta,S1,Jawa Barat,> Rp10.000.000,Flo,< 1 Tahun,,3,3,2,3,3,,3,3,3,2,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,2,2,3,,2,2,2,2,2,,3,2,2,3,3,3,,3,2,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,Diploma,Jawa Timur,Rp1.000.000 - Rp2.500.000,theAsianparent,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,3,4,3,3,3,,3,1,3,4,4,,4,4,4,4,4,,3,4,4,4,4,,4,4,4,3,3,,3,3,3,3,4,,3,3,3,3,3,,1,4,1,1,4,,3,4,3,4,2,,4,4,4,4,3,4,,4,3,4,,4,4,3,3,3
31 -35 Tahun,Ibu rumah tangga,S1,Jawa Barat,Rp5.000.000 - Rp10.000.000,theAsianparent,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,4,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,4,3,3,2,3,,3,3,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Sulawesi Tenggara,> Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,3,4,4,,4,4,3,3,4,,4,3,3,4,4,,3,4,4,4,4,,4,4,4,3,4,,3,3,3,3,3,,3,3,4,3,4,,4,4,4,4,4,,4,4,1,3,4,,3,4,4,1,4,,4,4,4,4,3,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,SMA,Jawa Timur,Rp1.000.000 - Rp2.500.000,Flo,1 - 2 Tahun,,4,4,4,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,3,2,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,2,2,4,,4,4,4,3,3,,3,3,3,3,3,3,,4,4,4,,4,4,3,3,3
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Tengah,Rp2.500.000 - Rp5.000.000,theAsianparent,< 1 Tahun,,3,3,3,3,3,,2,3,3,3,3,,2,2,2,2,3,,3,3,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,2,2,3,,1,3,2,2,3,,3,2,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,SMP,Jawa Barat,Rp1.000.000 - Rp2.500.000,Pregnancy+,< 1 Tahun,,4,3,4,4,3,,3,3,3,3,3,,3,3,2,1,3,,3,3,3,3,3,,4,3,2,2,3,,3,3,3,3,3,,3,3,2,3,2,,4,4,4,3,3,,3,4,3,4,4,,3,2,2,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,2,2,2,3
31 -35 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp1.000.000 - Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,,2,2,2,2,2
26 - 30 Tahun,Wiraswasta/Pemilik Bisnis,Diploma,Sumatera Selatan,Rp1.000.000 - Rp2.500.000,Teman Bumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,1,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,3,3,,2,2,2,2,2,,3,3,2,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Tenaga Kesehatan Dokter/Bidan/Perawat,S1,Kalimantan Timur,Rp5.000.000 - Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,4,4,4,,4,2,2,2,4,,4,3,3,1,4,,4,4,4,4,4,,4,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,2,2,3,,4,4,2,1,4,,3,3,4,4,4,,4,3,3,3,3,2,,4,4,4,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp1.000.000 - Rp2.500.000,Pregnancy+,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,2,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,3,3,,2,3,3,3,3,,2,3,3,3,3,,2,2,2,2,3,,2,2,2,4,2,,1,1,1,1,1,,3,3,3,3,3,3,,3,3,3,,3,3,2,2,3
20 - 25 Tahun,Ibu rumah tangga,Diploma,Jawa Barat,Rp5.000.000 - Rp10.000.000,theAsianparent,< 1 Tahun,,4,4,4,2,3,,2,4,4,4,3,,2,2,2,2,2,,3,3,4,4,4,,4,4,3,3,4,,3,4,4,4,4,,4,4,3,4,3,,3,3,3,4,4,,1,1,1,4,4,,2,4,1,1,4,,2,2,2,1,1,,3,3,3,3,3,4,,4,4,4,,4,3,2,4,3
20 - 25 Tahun,Ibu rumah tangga,SMA,Kalimantan Barat,< Rp1.000.000,Flo,1 - 2 Tahun,,4,4,4,4,4,,4,4,4,4,3,,2,2,2,2,2,,3,3,3,3,3,,3,3,3,3,4,,4,3,2,3,3,,3,3,3,3,3,,3,3,4,4,3,,2,2,2,4,3,,2,3,3,2,3,,4,3,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,2,3,3
26 - 30 Tahun,Ibu rumah tangga,Diploma,Jawa Barat,Rp1.000.000 - Rp2.500.000,Hallodoc,< 1 Tahun,,3,3,3,2,2,,3,3,3,3,3,,3,2,2,2,3,,3,2,2,3,3,,3,3,3,3,3,,2,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,1,2,3,2,2,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,2,3
26 - 30 Tahun,Ibu rumah tangga,S2,Jawa Tengah,> Rp10.000.000,Pregnancy+,< 1 Tahun,,3,3,3,3,2,,3,4,4,4,4,,2,1,1,1,3,,3,3,1,4,4,,3,3,3,2,3,,3,3,3,3,3,,3,3,3,3,3,,4,3,3,3,3,,1,4,1,2,2,,1,4,1,1,1,,1,2,2,2,2,,3,3,3,3,3,3,,3,3,3,,4,4,3,3,3
< 20 Tahun,Ibu rumah tangga,SMA,Nusa Tenggara Barat,< Rp1.000.000,Pregnancy+,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,1,,4,4,4,2,3,,2,4,2,2,3,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,SMA,Banten,> Rp10.000.000,HiMommy,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Wiraswasta/Pemilik Bisnis,SMA,Jawa Barat,Rp5.000.000 - Rp10.000.000,Pregnancy+,< 1 Tahun,,4,3,3,3,3,,4,4,3,4,4,,4,2,2,3,4,,3,3,3,4,3,,3,2,3,2,3,,2,3,3,3,3,,3,3,3,3,2,,4,4,4,3,3,,1,3,2,3,3,,2,4,1,1,2,,3,3,2,2,2,,4,4,4,3,3,1,,4,4,3,,3,3,3,2,3
20 - 25 Tahun,Ibu rumah tangga,SMA,Lampung,Rp1.000.000 - Rp2.500.000,Flo,< 1 Tahun,,4,3,3,2,3,,3,3,3,4,3,,3,2,1,2,3,,3,2,2,4,3,,3,3,3,3,3,,3,2,2,3,2,,3,3,3,4,3,,3,3,3,3,3,,2,3,2,3,3,,3,4,4,3,4,,3,3,4,4,4,,4,4,4,4,4,4,,4,4,4,,3,3,3,4,3
20 - 25 Tahun,Ibu rumah tangga,SMA,Lampung,Rp1.000.000 - Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,4,4,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Timur,Rp2.500.000 - Rp5.000.000,Flo,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,4,4,,3,3,2,4,2,,3,3,3,3,3,,3,3,3,4,3,,3,3,3,3,3,3,,3,3,3,,3,3,4,4,3
20 - 25 Tahun,PNS,Diploma,Sumatera Selatan,Rp5.000.000 - Rp10.000.000,Pregnancy+,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,3,4,,4,4,4,4,4,,3,3,3,3,3,,4,4,4,4,4,,2,2,3,2,2,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp2.500.000 - Rp5.000.000,theAsianparent,< 1 Tahun,,4,3,4,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,2,2,4,3,,4,4,3,4,4,,2,2,3,3,2,,3,4,4,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,2,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Ibu rumah tangga,Diploma,Nusa Tenggara Barat,Rp5.000.000 - Rp10.000.000,Meetyou ,> 2 Tahun,,3,3,3,3,3,,4,4,3,3,3,,3,3,3,3,4,,4,4,3,4,4,,4,4,3,3,3,,3,3,3,3,3,,4,3,4,4,3,,4,4,4,3,3,,4,4,3,3,3,,2,2,2,2,3,,4,4,4,2,2,,4,4,4,4,4,4,,3,3,3,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,SMA,Daerah Istimewa Yogyakarta,< Rp1.000.000,Teman Bumil,< 1 Tahun,,3,4,4,3,3,,3,3,3,4,3,,3,3,3,3,3,,3,3,4,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,4,4,3,3,,3,3,3,3,3,,3,2,2,4,3,,2,3,2,2,2,,3,3,2,2,3,,3,3,3,3,3,3,,3,3,3,,4,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,S1,Bengkulu,Rp2.500.000 - Rp5.000.000,theAsianparent,1 - 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,3,4,,4,4,4,4,4,,4,3,3,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,4,,3,3,2,2,3,,1,2,1,1,1,,4,4,4,4,4,3,,4,4,4,,4,4,4,4,4
31 -35 Tahun,Ibu rumah tangga,SMP,Jawa Barat,Rp1.000.000 - Rp2.500.000,theAsianparent,< 1 Tahun,,4,3,4,3,4,,4,4,4,4,4,,3,3,3,3,4,,4,4,2,4,4,,4,3,4,3,4,,4,3,3,4,3,,3,4,4,4,4,,4,4,4,3,4,,2,1,2,4,4,,1,3,3,1,3,,4,4,4,3,3,,4,4,3,4,4,4,,4,4,4,,3,3,3,3,4
20 - 25 Tahun,Ibu rumah tangga,SMA,DKI Jakarta,Rp2.500.000 - Rp5.000.000,Teman Bumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,3,4,4,4,,4,4,4,4,4,,3,3,3,3,3,,3,3,3,3,3,,4,3,4,4,4,,3,3,3,3,3,,4,4,4,4,4,3,,3,3,4,,3,3,3,3,3
